Word              Count
story             8
straight          2
straightened      1
straightening     1
strange           5
strength          1
stretched         2
stretching        2
strings           1
struck            2
stuff             4
stupid            6
stupidest         1
stupidly          1
subdued           1
subject           6
subjects          1
submitted         1
succeeded         3
such              41
sudden            5
suddenly          13
suet              1
sugar             1
suit              3
sulkily           2
sulky             3
summer            2
sun               2
supple            1
suppose           14
suppress          1
suppressed        4
sure              24
surprise          5
surprised         7
swallow           1
swallowed         1
swallowing        1
swam              5
sweet-tempered    1
swim              5
swimming          2
t                 1
table             18
tail              9
tails             3
take              22
taken             4
takes             2
taking            5
tale              4
talk              14
talking           17
taller            2
tarts             7
taste             2
tasted            3
tastes            1
taught            4
tea               13
tea-party         2
tea-things        1
tea-time          2
tea-tray          1
teaching          1
teacup            3
teacups           2
teapot            1
tears             11
teases            1
teeth             1
telescope         3
telescopes        1
tell              32
telling           2
tells             2
temper            5
ten               6
terms             1
terribly          1
terrier           1
terror            1
than              24
thank             4
thanked           1
that              280
that'll           1
that's            34
thatched          1
the               1639
their             52
theirs            1
them              88
themselves        3
then              94
there             75
there's           24
therefore         1
these             14
they              130
they'd            4
they'll           4
they're           13
they've           1
thick             1
thimble           4
thin              1
thing             49
things            30
think             53
thinking          11
thirteen          1
this              134
thistle           2
thoroughly        2
those             10
though            11
thought           74
thoughtfully      4
thoughts          2
thousand          2
three             26
three-legged      2
threw             2
throat            2
throne            1
through           14
throw             3
throwing          2
thrown            1
thump             2
thunder           1
thunderstorm      1
tide              1
tidy              1
tie               1
tied              1
tight             1
till              21
tillie            1
time              68
times             6
timid             3
timidly           9
tinkling          1
tiny              4
tipped            1
tiptoe            2
tired             7
tis               5
tittered          1
to                725
to-day            3
to-night          1
toast             1
today             1
toes              3
toffee            1
together          9
told              6
tomorrow          1
tone              40
tones             2
tongue            4
too               26
took              24
top               8
tops              1
tortoise          3
toss              1
tossing           3
touch             1
tougher           1
towards           1
toys              1
trampled          1
treacle           5
treacle-well      2
treading          2
treat             1
treated           1
tree              5
trees             7
tremble           1
trembled          2
trembling         6
tremulous         1
trial             7
trial's           3
trials            1
trickling         1
tricks            1
tried             19
trims             1
triumphantly      2
trot              1
trotting          2
trouble           6
true              4
trumpet           3
trusts            1
truth             1
truthful          1
try               12
trying            14
tucked            3
tulip-roots       1
tumbled           1
tumbling          2
tunnel            1
tureen            1
turkey            1
turn              10
turn-up           1
turned            16
turning           12
turns             3
turtle            57
turtle's          2
turtles           2
tut               2
twelfth           1
twelve            4
twentieth         1
twenty            1
twenty-four       2
twice             5
twinkle           8
twinkled          1
twinkling         4
twist             2
two               39
ugh               2
uglification      2
uglify            1
uglifying         1
ugly              2
unable            1
uncivil           1
uncomfortable     4
uncomfortably     1
uncommon          1
uncommonly        1
uncorked          1
under             16
underneath        1
understand        6
understood        1
undertone         2
undo              1
undoing           1
uneasily          2
uneasy            1
unfolded          2
unfortunate       3
unhappy           2
unimportant       5
unjust            1
unless            2
unlocking         1
unpleasant        2
unrolled          2
until             5
untwist           1
unusually         1
unwillingly       1
up                98
upon              26
upright           1
upset             3
upsetting         1
upstairs          1
us                14
use               18
used              13
useful            2
using             2
usual             5
usually           2
usurpation        1
v                 1
vague             1
vanished          4
vanishing         1
variations        1
various           1
vegetable         1
velvet            1
venture           3
ventured          4
verdict           4
verse             4
verses            4
very              144
vi                1
vii               1
viii              1
vinegar           1
violence          1
violent           2
violently         4
visit             1
voice             48
voices            3
vote              1
vulgar            1
w                 1
wag               1
wags              1
waist             1
waistcoat         1
waistcoat-pocket  1
wait              1
waited            11
waiting           9
wake              2
walk              5
walked            10
walking           5
walrus            1
wander            1
wandered          2
wandering         2
want              9
wanted            4
wants             2
